GeneralFeedbackID,ID,Content
19792205,0,hàng chuẩn
19179222,0,màn hình giao an toàn
19179222,1,chất lượng hinh ảnh ok
19179222,2,màu sắc ồn
19179222,3,giao hàng nhanh
19179222,4,đóng gói tốt
19591230,0,giao hàng nhanh
19591230,1,chất lượng cao
19591230,2,màu sắc ổn
19063111,0,ok
15988315,0,màn hình xài tốt
15988315,1,không lỗi lầm
15988315,2,bữa mình đặt giao nhanh nên trong sáng đã giao
15988315,3,rất hài lòng
15042669,0,màn hình dùng tốt trong tầm giá
14297497,0,good monitor for good price pros high quality image
14297497,1,affordable
14297497,2,fast delivery
14297497,3,durable pieces
14297497,4,lightweight
14297497,5,packaged securely
14297497,6,easy to assemble
14297497,7,includes headphone port cons short power cord
14297497,8,power controls are in the back and are difficult to reach
14297497,9,you probably need an extension power cable
14297497,10,neutral like many external monitors it has no speakers
14297497,11,you might need headphones
14297497,12,overall good product for the price but you need external accessories to make full use of it
15960268,0,chất lượng rất ổn luôn nha
15960268,1,lắp đặt và sử dụng đơn giản
15960268,2,rất phù hợp cho các bạn làm văn phòng
15369414,0,hàng full box
15369414,1,tiki now nên giao trong ngày
15369414,2,asus thì hàng ngon rồi không kém dell là mấy
15369414,3,nói chung ổn với giá tiền
14961122,0,màn hình sắc nét
14961122,1,màu sắc chân thực nhưng có 1 điểm chết
17805689,0,đẹp
17805689,1,chất lượng
17805689,2,giao hàng nhanh
15912960,0,sản phẩm rất ổn! dùng đỡ mỏi mắt hẳn
16933124,0,ok good
14235954,0,màn đẹp nhưng giao hàng lâu
16101372,0,ok
16041599,0,ok
13706009,0,sản phẩm ok
19684714,0,ship hơi lâu
19684714,1,màn đẹp
15283941,0,mình đã dùng được khoảng 2 tuần
15283941,1,tiki giao hàng rất nhanh
15283941,2,giá cũng tốt
15283941,3,mình dùng màn hình này làm màn hình phụ
15283941,4,đáp ứng tốt nhu cầu đọc nghiên cứu và làm việc văn phòng vì có thể arrange nhiều windows thoải mái
15283941,5,về nhu cầu giải trí thì 7
15283941,6,510
15283941,7,với những video tối thì xem không thích lắm
15283941,8,và độ smooth màu không cao
15283941,9,loa được nhưng không hay dùng làm
15283941,10,có cái đế to
15283941,11,tốn diện tích một tí nhưng có vẻ chắc chắn hơn
15283941,12,chênh lệch màu sắc giữa màn hình phụ và màn hình laptop tạm chấp nhận được vì mình chưa có yêu cầu nhiều và tự chỉnh thấy oải quá tấm nền ips nên chấp nhận chuyện hở sáng thôi ạ
13045991,0,mình vừa nhận đc màn hình chiều nay từ shop
13045991,1,giờ mở lên xem thì có ngay cái gạch này
13045991,2,lại còn hở sáng khủng khiếp
13045991,3,vui lòng xử lý giùm mình
13045991,4,chờ từ 611 tới giờ 4 ngày mà ko thấy 1 phản hồi nào từ shop
13045991,5,chán cho lên 5 để shop vừa lòng
12851085,0,xem review so sánh nhiều
12851085,1,cuối cùng chọn màn này thay vì dell u
12851085,2,chất màu ngon
12851085,3,dùng chỉnh ảnh khá là ưng
