MasterID,ID,Text,AspectTerms,AspectPolarities,AspectCategories,CategoryPolarities
11302355#533813,0,"Great food, great waitstaff, great atmosphere, and best of all GREAT beer!","['great waitstaff', 'great beer', 'great food', 'great atmosphere']","{'great waitstaff': 'positive', 'great beer': 'positive', 'great food': 'positive', 'great atmosphere': 'positive'}",['food'],{'food': 'positive'}
11302356#1455624,0,"I've been coming here on and off for the past five years and I have to say that La Lanterna has never, ever dissapointed me.","['years', 'la lanterna']","{'years': 'negative', 'la lanterna': 'negative'}",['service'],{'service': 'neutral'}
11302356#1455624,1,"The food is top notch, the service is attentive, and the atmosphere is great.","['top notch', 'service', 'atmosphere', 'food']","{'top notch': 'positive', 'service': 'positive', 'atmosphere': 'positive', 'food': 'positive'}",['food'],{'food': 'positive'}
11302356#1455624,2,"If you' re in New York, you do not want to miss this place.","['re', 'new york', 'place']","{'re': 'positive', 'new york': 'positive', 'place': 'positive'}",['ambience'],{'ambience': 'neutral'}
11302357#835238,0,"What can you say about a place where the waitress brings out the wrong entree, then verbally assaults your 80 year old grandmother and gives her lip about sending it back (which she did politely, by the way).","['waitress', 'lip', 'way', 'wrong entree', 'place', 'year old grandmother']","{'waitress': 'negative', 'lip': 'negative', 'way': 'negative', 'wrong entree': 'negative', 'place': 'negative', 'year old grandmother': 'negative'}",['miscellaneous'],{'miscellaneous': 'neutral'}
11302357#835238,1,"The service was pretty poor all around, the food was well below average relative to the cost, and outside there is a crazy bum who harasses every customer who leaves the place.","['customer', 'service', 'food', 'cost', 'place', 'crazy bum']","{'customer': 'negative', 'service': 'negative', 'food': 'negative', 'cost': 'negative', 'place': 'negative', 'crazy bum': 'negative'}",['food'],{'food': 'negative'}
11302357#835238,2,"The ambiance was pretty cool, but not worth the hassle.","['ambiance', 'hassle']","{'ambiance': 'positive', 'hassle': 'positive'}",['service'],{'service': 'neutral'}
11302357#835238,3,"Probably my worst dining experience in new york, and I'm a former waiter so I know what I'm talking about.","['experience', 'former waiter', 'new york']","{'experience': 'negative', 'former waiter': 'negative', 'new york': 'negative'}",['service'],{'service': 'neutral'}
11313290#1139539,0,"Even after a few bad evenings at Bardolino, I keep coming back.","['bardolino', 'few bad evenings']","{'bardolino': 'negative', 'few bad evenings': 'negative'}",['ambience'],{'ambience': 'neutral'}
11313290#1139539,1,"The new menu has a few creative items,they were smart enough to keep some of the old favorites (but they raised the prices), the staff is friendly most of the time, but I must agree with the person that wrote about their favorite words: No, can't, sorry..., boy, they won't bend the rules for anyone.","['favorite words', 'old favorites', 'time', 'new menu', 'anyone', 'prices', 'few creative items', 'staff', 'rules', 'person']","{'favorite words': 'positive', 'old favorites': 'positive', 'time': 'positive', 'new menu': 'positive', 'anyone': 'positive', 'prices': 'positive', 'few creative items': 'positive', 'staff': 'positive', 'rules': 'positive', 'person': 'positive'}",['miscellaneous'],{'miscellaneous': 'neutral'}
11313316#1234433,0,This is definitely one of the places that I have continued to come back to over the years.,"['years', 'places']","{'years': 'neutral', 'places': 'neutral'}",['service'],{'service': 'neutral'}
11313316#1234433,1,I usually get one the Vietnamese Beef Noodle Soup.,['vietnamese beef noodle soup'],{'vietnamese beef noodle soup': 'negative'},['service'],{'service': 'neutral'}
11313316#1234433,2,Their duck here is also absolutely delicious.,['duck'],{'duck': 'positive'},['price'],{'price': 'neutral'}
